0,1,2,3,4,5,6,7,8
43,0.675418437,1.185766578,-1.889450073,1.252049208,-0.449153543,0.554360211,3.609664917,-0.921940625
45,-1.559300303,0.754172266,-1.804361224,1.571647763,1.257354736,-0.226738319,1.655323982,-0.243781805
46,-0.698000252,-0.787694395,-2.063671589,0.240017846,0.879904687,1.611083627,2.723533869,0.763823271
48,-1.119495273,-1.017769694,-1.959136009,1.285361767,-0.247866705,-0.05973338,1.745695233,0.000171872
49,-0.627129614,0.52560693,-0.721741438,0.947592616,0.368098259,0.580674827,1.497795701,0.016018791
50,-0.372408122,-0.359779596,-1.594063759,0.020991312,0.983620822,0.792410791,1.653899431,0.373219907
51,-1.29185164,0.131538168,-1.498468399,1.203899384,-0.67219317,-0.802660763,1.385286927,0.058984995
52,-1.747221947,-1.994461179,-0.495974869,0.02449231,-0.486092895,0.389131069,2.47026968,-0.47542128
53,-0.904580772,0.164803937,-1.606955051,0.023587899,0.428047925,0.244610116,1.695040107,0.234623
54,0.410872787,-0.416432977,-0.223190442,1.34566021,1.062795758,1.005784988,2.42065835,0.506547213
55,-0.869869947,-1.053361654,-1.727805614,0.048639204,-1.059118867,1.190924764,1.135326982,-0.924557924
56,-1.138402581,0.760514319,-1.730781674,0.232484534,0.095410876,1.310611367,1.585952163,0.10750594
57,-0.729680002,-0.359326124,-1.242406368,0.084746428,0.044220578,0.867254972,1.143929601,0.345211238
58,0.729406893,-0.335569412,-1.991447806,0.867073894,-1.584285259,0.563620985,1.702907205,-0.251972258
59,-1.335476637,0.325962394,-1.559629679,1.418521523,0.100000985,1.442166448,2.012059927,0.750997245
60,-0.671126127,-0.968933344,0.845102906,1.23154068,0.351637632,-0.337591738,-0.587333083,2.041397572
61,0.507467151,0.969215035,-2.041951418,-0.477082282,0.414845556,0.432790667,1.779326558,-0.859888673
62,0.050742194,-0.006061257,-0.598969579,0.612632275,-0.336211175,-0.038286559,0.719799995,1.039575934
63,-1.117363095,-0.105102487,-1.831908822,-0.709260762,-0.221962869,-0.732179582,2.516701221,-0.425609887
64,-1.123670459,0.049666606,-1.086491346,0.964899182,0.159688473,0.714860559,0.579626977,0.126509055
65,-1.273366928,0.660007954,-0.114302993,-0.392684251,-0.530995011,0.929858029,2.628543377,0.59960258
66,0.14413324,0.280430138,-0.451880693,1.680371642,-0.665070355,0.641519248,1.619740844,0.906365752
67,-0.99544549,-0.576955616,1.787325144,-0.311269939,-1.226382136,-0.239371344,1.978504896,-0.3276788
68,-1.208592772,1.063144326,-1.300197005,0.167131111,0.592961907,0.959887922,1.536139846,0.982927561
69,0.529343367,-0.76332891,-0.716073513,0.810087383,-0.446863472,0.496630311,1.428370237,-0.605740666
70,-0.457899213,1.260532141,-2.011716366,1.263433933,1.199359536,-0.40492323,0.969716191,-0.350140899
71,-0.486886263,-1.613066077,-1.325667381,1.498476863,0.908772349,0.057912745,0.554584026,-0.547410131
72,0.220807597,-0.632150352,-1.215480685,0.773684323,-0.78990078,0.800767958,1.665568233,0.678999364
73,-0.439836025,0.445817947,0.682568431,-0.073944777,1.387637496,-1.428398252,0.40100804,1.49484849
74,-1.47847271,-0.3291834,-0.431235015,1.795562506,-0.032295842,0.003788207,0.803156555,0.447158337
75,-0.651860416,-0.272264957,-0.58575213,-1.472097516,0.619865656,1.0525769,1.520641327,-0.479647368
76,0.896520197,0.088678852,-0.821775734,-0.446188509,1.608938217,-0.019979157,-0.221940503,-0.337300628
77,-1.461214662,0.843293726,-0.716515124,-0.071110003,-0.61338675,0.341249347,1.091923594,1.217332006
78,-2.753512859,-0.443066478,0.70440042,-0.514306784,-0.261310369,1.858286262,0.629064322,-1.144245028
79,-0.053552631,0.617721796,-0.208826751,1.200601339,1.142909765,0.367127508,0.785391808,-2.110341072
80,-0.320554674,-0.577773988,-1.455216646,1.240953803,-0.961235702,-0.606567264,0.415390879,0.164520696
81,-1.30959332,1.85577035,-0.127876759,0.802096665,-0.006376015,0.896990001,-0.965881705,-0.635272384
82,0.383755416,0.714171469,-1.430736899,0.205469474,-1.459787011,0.68459475,1.499015927,-0.061507318
83,-2.31833744,1.373112798,-2.450410366,0.208836809,0.172846988,-0.390527606,-0.950076342,-0.03458618
84,0.256992668,0.033717886,-1.410995722,0.972862244,0.886598647,0.568580091,0.597334862,-0.448953986
85,-1.680343986,-0.886223793,0.197611988,2.217562914,-1.854864359,0.124959961,0.553362012,0.291665822
86,-0.339088142,1.387547016,1.395813823,-1.839966893,1.020807981,1.611829281,-0.285584122,0.178457364
87,0.3320961,-1.463434458,-0.78047061,1.550892115,-1.924231172,0.766364217,0.396285921,-2.091574907
88,1.174320579,0.224263102,-1.119673491,0.443404764,-0.677390695,-0.985322416,0.456033975,-2.034918308
89,-0.901733816,1.440512776,-2.620261908,-0.328120381,-0.575502694,2.190882444,-0.36928013,0.015308203
90,-0.266272455,-0.236824095,-0.375018537,0.329938561,-0.436650276,0.106400438,1.441031694,0.591299295
91,0.779527009,-0.58617717,0.498707712,0.423522264,-0.693589866,0.863302588,-0.899966419,-0.45018357
92,-1.274090648,0.377917498,-2.484196424,-0.266556323,0.212884262,-1.920938253,-0.967791975,0.206976965
93,-0.246317461,0.969082594,0.297651887,0.047591716,1.446105003,1.037220478,1.187476516,0.469931364
94,1.276983142,-1.322280169,-0.991544783,-1.513406277,1.806013465,-0.266677856,-0.139793262,-0.685668349
95,1.209092736,0.349372953,-0.365540028,1.037121892,2.122941017,-0.03662407,-0.630736887,-0.739670634
96,-0.127826348,0.659281671,1.139403582,-0.183509484,-0.836954713,-1.344207048,0.986824989,1.320605636
